State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date
"GU","Pressure sores","PSI_3_ULCER","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"GU","Broken hip from a fall after surgery","PSI_8_POST_HIP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"GU","Blood stream infection after surgery","PSI_13_POST_SEPSIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"GU","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"GU","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"GU","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","Death rate for heart attack patients","MORT_30_AMI","0","9","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"HI","Death rate for heart failure patients","MORT_30_HF","0","12","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"HI","Death rate for pneumonia patients","MORT_30_PN","0","13","0","6","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"HI","Death rate for COPD patients","MORT_30_COPD","0","11","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"HI","Death rate for stroke patients","MORT_30_STK","0","11","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"HI","Death rate for CABG surgery patients","MORT_30_CABG","0","2","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"HI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","3","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"HI","Serious complications","PSI_90_SAFETY","0","12","0","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","12","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","12","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","12","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","12","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","6","0","6","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","Pressure sores","PSI_3_ULCER","0","12","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","12","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","10","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","0","12","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","10","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"HI","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","0","10","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","Death rate for heart attack patients","MORT_30_AMI","0","28","0","83","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IA","Death rate for heart failure patients","MORT_30_HF","3","86","0","29","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IA","Death rate for pneumonia patients","MORT_30_PN","4","112","1","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IA","Death rate for COPD patients","MORT_30_COPD","3","72","0","41","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IA","Death rate for stroke patients","MORT_30_STK","2","42","0","71","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IA","Death rate for CABG surgery patients","MORT_30_CABG","0","10","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","51","0","23","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"IA","Serious complications","PSI_90_SAFETY","2","32","0","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","33","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","34","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","32","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","34","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","20","0","13","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","Pressure sores","PSI_3_ULCER","1","32","1","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","34","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","33","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","1","33","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","33","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IA","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","6","27","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","Death rate for heart attack patients","MORT_30_AMI","0","10","0","22","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"ID","Death rate for heart failure patients","MORT_30_HF","2","20","0","16","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"ID","Death rate for pneumonia patients","MORT_30_PN","1","32","0","6","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"ID","Death rate for COPD patients","MORT_30_COPD","1","21","0","16","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"ID","Death rate for stroke patients","MORT_30_STK","0","13","0","21","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"ID","Death rate for CABG surgery patients","MORT_30_CABG","0","5","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"ID","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","22","2","5","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"ID","Serious complications","PSI_90_SAFETY","0","13","1","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","13","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","13","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","13","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","13","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","8","0","4","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","Pressure sores","PSI_3_ULCER","0","12","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","13","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","13","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","0","13","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","13","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"ID","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","0","12","1","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","Death rate for heart attack patients","MORT_30_AMI","0","105","3","71","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IL","Death rate for heart failure patients","MORT_30_HF","8","145","16","13","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IL","Death rate for pneumonia patients","MORT_30_PN","10","154","14","4","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IL","Death rate for COPD patients","MORT_30_COPD","2","156","5","14","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IL","Death rate for stroke patients","MORT_30_STK","0","107","5","63","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IL","Death rate for CABG surgery patients","MORT_30_CABG","1","48","1","13","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","113","1","26","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"IL","Serious complications","PSI_90_SAFETY","7","116","3","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","126","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","12","109","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","117","0","6","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","122","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","83","0","34","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","Pressure sores","PSI_3_ULCER","5","120","1","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","126","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","Blood stream infection after surgery","PSI_13_POST_SEPSIS","6","106","1","8","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","3","118","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","114","0","7","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IL","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","6","103","4","8","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","Death rate for heart attack patients","MORT_30_AMI","0","63","0","52","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IN","Death rate for heart failure patients","MORT_30_HF","4","99","4","14","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IN","Death rate for pneumonia patients","MORT_30_PN","6","103","2","9","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IN","Death rate for COPD patients","MORT_30_COPD","3","101","3","11","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IN","Death rate for stroke patients","MORT_30_STK","1","68","3","43","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IN","Death rate for CABG surgery patients","MORT_30_CABG","2","28","0","7","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"IN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","81","2","21","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"IN","Serious complications","PSI_90_SAFETY","2","82","1","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","85","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","81","2","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","77","0","7","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","82","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","49","0","26","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","Pressure sores","PSI_3_ULCER","1","80","3","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","85","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","Blood stream infection after surgery","PSI_13_POST_SEPSIS","2","79","0","3","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","0","82","1","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","1","80","0","3","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"IN","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","2","77","1","4","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","Death rate for heart attack patients","MORT_30_AMI","0","25","0","86","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KS","Death rate for heart failure patients","MORT_30_HF","4","71","2","53","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KS","Death rate for pneumonia patients","MORT_30_PN","6","107","3","14","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KS","Death rate for COPD patients","MORT_30_COPD","0","71","0","54","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KS","Death rate for stroke patients","MORT_30_STK","1","33","0","87","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KS","Death rate for CABG surgery patients","MORT_30_CABG","1","13","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","44","1","8","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"KS","Serious complications","PSI_90_SAFETY","2","46","3","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","49","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","45","1","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","36","0","7","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","41","0","8","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","18","1","16","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","Pressure sores","PSI_3_ULCER","0","47","1","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","51","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","43","0","3","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","0","46","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","44","0","3","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KS","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","2","38","4","3","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","Death rate for heart attack patients","MORT_30_AMI","1","47","0","42","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KY","Death rate for heart failure patients","MORT_30_HF","5","73","2","15","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KY","Death rate for pneumonia patients","MORT_30_PN","10","83","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KY","Death rate for COPD patients","MORT_30_COPD","2","85","0","6","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KY","Death rate for stroke patients","MORT_30_STK","3","39","1","47","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KY","Death rate for CABG surgery patients","MORT_30_CABG","1","15","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"KY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","42","0","15","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"KY","Serious complications","PSI_90_SAFETY","5","60","1","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","64","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","57","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","57","0","5","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","62","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","30","0","24","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","Pressure sores","PSI_3_ULCER","3","60","1","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","64","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","Blood stream infection after surgery","PSI_13_POST_SEPSIS","2","40","0","8","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","1","59","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","44","0","6","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"KY","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","9","35","0","6","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","Death rate for heart attack patients","MORT_30_AMI","1","42","0","56","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"LA","Death rate for heart failure patients","MORT_30_HF","1","78","4","22","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"LA","Death rate for pneumonia patients","MORT_30_PN","2","88","5","11","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"LA","Death rate for COPD patients","MORT_30_COPD","0","79","1","22","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"LA","Death rate for stroke patients","MORT_30_STK","0","46","1","50","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"LA","Death rate for CABG surgery patients","MORT_30_CABG","0","25","0","7","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"LA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","52","0","21","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"LA","Serious complications","PSI_90_SAFETY","3","88","1","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","90","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","77","1","7","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","64","0","17","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","75","0","10","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","31","0","30","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","Pressure sores","PSI_3_ULCER","5","80","0","7","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","90","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","69","0","11","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","1","76","0","9","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","1","72","0","11","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"LA","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","6","61","0","16","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","Death rate for heart attack patients","MORT_30_AMI","0","45","5","11","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"MA","Death rate for heart failure patients","MORT_30_HF","0","46","13","3","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"MA","Death rate for pneumonia patients","MORT_30_PN","1","42","17","3","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"MA","Death rate for COPD patients","MORT_30_COPD","0","47","9","6","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"MA","Death rate for stroke patients","MORT_30_STK","0","49","2","10","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"MA","Death rate for CABG surgery patients","MORT_30_CABG","0","13","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"MA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","54","1","2","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"MA","Serious complications","PSI_90_SAFETY","2","51","4","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","57","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","51","2","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","51","0","3","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","51","0","4","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","41","0","12","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","Pressure sores","PSI_3_ULCER","7","50","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","57","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","51","1","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","1","52","1","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","1","51","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MA","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","0","50","2","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"MD","Death rate for heart attack patients","MORT_30_AMI","0","40","1","5","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"MD","Death rate for heart failure patients","MORT_30_HF","2","38","6","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"MD","Death rate for pneumonia patients","MORT_30_PN","5","40","1","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"MD","Death rate for COPD patients","MORT_30_COPD","5","40","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"MD","Death rate for stroke patients","MORT_30_STK","2","38","3","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
