"CMS Certification Number","Facility Name","Address","City","County","State","Zip","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Measure Start Date","Measure End Date"
"11C0001460","RESURGENS EAST SURGERY CENTER, LLC","3241 Iris Drive, Suite 100","Covington",,"GA","30016",6784224280,,,,,,,,,,,,,,,,,"4",,,,,
"12C0001012","Kaiser Permanente Honolulu Clinic - ASC","1010 Pensacola St","Honolulu",,"HI","96814",8085972611,,,,,,,,,,,,,,,,,"4",,,,,
"12C0001100","Kaiser Wailuku Clinic - ASC","80 Mahalani St","Wailuku",,"HI","96793",8082436000,,,,,,,,,,,,,,,,,"4",,,,,
"14C0001007","Hinsdale Surgical Center","908 N. Elm St Suite 401","Hinsdale",,"IL","60521",6307067142,98,2,0,99,90,8,2,94,89,9,2,95,87,12,1,95,,1262,463,37,04/01/2017,03/31/2018
"14C0001027","Same Day Surgery 25 East","25 E. Washington","Chicago",,"IL","60602",3127263329,97,3,0,98,92,6,2,95,81,16,3,93,80,17,3,91,,1276,312,24,04/01/2017,03/31/2018
"14C0001030","River North Same Day Surgery Center","1 E. Erie Ste. 200","Chicago",,"IL","60611",3126493939,97,3,0,98,93,6,1,96,85,13,2,94,88,11,1,95,,1184,289,24,04/01/2017,03/31/2018
"14C0001041","North Shore Surgical Center","3725 W. Touhy Ave","Lincolnwood",,"IL","60712",8473247770,97,3,0,98,91,7,2,94,84,14,2,93,80,19,1,93,,1250,466,37,04/01/2017,03/31/2018
"14C0001059","Rockford Endoscopy Center","401 Roxbury Rd","Rockford",,"IL","61107",8154847930,,,,,,,,,,,,,,,,,"4",,,,,
"14C0001074","Effingham Surgical Partners, LLC","904 W. Temple Ave.","Effingham",,"IL","62401",2173421234,99,1,0,99,94,5,1,97,95,4,1,97,93,6,1,97,,1286,713,55,04/01/2017,03/31/2018
"14C0001076","Carle Surgicenter","1702 South Mattis Ave.","Champaign",,"IL","61821",2173260047,98,2,0,99,97,3,0,98,90,7,3,95,91,7,2,96,"3",210,47,24,04/01/2017,03/31/2018
"14C0001157","Physicians Surgery Center at Good Samaritan, LLC","2 Good Samaritan Way, Ste. 200","Mt. Vernon",,"IL","62864",6188995703,98,2,0,99,91,8,1,95,88,10,2,94,84,15,1,94,,851,299,35,04/01/2017,03/31/2018
"15C0001058","The Endoscopy Center at St Francis","8051 South Emerson Ave","Indianapolis",,"IN","46237",3178574026,,,,,,,,,,,,,,,,,"4",,,,,
"15C0001147","Parkview Inverness Surgery Center","8004 Carnegie Blvd.","Fort Wayne",,"IN","46804",2604343600,,,,,,,,,,,,,,,,,"4",,,,,
"15C0001158","Terre Haute Surgical Center, LLC","227 East Mcallister Dr.","Terre Haute",,"IN","47802",8122344315,98,2,0,99,95,4,1,97,90,9,1,96,89,10,1,96,,1182,486,41,04/01/2017,03/31/2018
"15C0001169","Indiana Specialty Surgery Center","1380 W. Arch Haven Ave.","Bloomington",,"IN","47403",8123301164,98,2,0,99,91,7,2,95,91,8,1,96,90,10,0,96,,1179,470,40,04/01/2017,03/31/2018
"16C0001016","Surgery Center of Cedar Rapids","1075 1st Ave. Se","Cedar Rapids",,"IA","52402",3195584803,96,4,0,98,89,9,2,94,84,13,3,93,83,16,1,94,,1307,521,40,04/01/2017,03/31/2018
"19C0001010","Eye Care Surgery Center, Inc","10423 Old Hammond Hwy","Baton Rouge",,"LA","70816",2259230960,,,,,,,,,,,,,,,,,"4",,,,,
"19C0001053","Ambulatory Eye Surgery Center of Louisiana","3900 Veterans Blvd. #100","Metairie",,"LA","70002",5044551550,,,,,,,,,,,,,,,,,"4",,,,,
"19C0001085","Lake Ambulatory Surgery Center","7145 Perkins Rd","Baton Rouge",,"LA","70808",2254085548,,,,,,,,,,,,,,,,,"4",,,,,
"19C0001092","Advanced Surgical Concepts LLC","9118 Bluebonnet Centre Blvd.","Baton Rouge",,"LA","70809",2253682330,97,3,0,99,91,7,2,94,86,11,3,94,88,10,2,95,,967,202,21,04/01/2017,03/31/2018
"19C0001106","Orthopedic Surgery Center","7301 Hennesy Blvd Ste 100","Baton Rouge",,"LA","70808",2257660050,,,,,,,,,,,,,,,,,"4",,,,,
"19C0001109","Christus Cabrini Surgery Center, LLC","3436 Masonic Dr.","Alexandria",,"LA","71301",3184276500,99,1,0,99,91,7,2,95,91,8,1,96,89,10,1,96,,1055,324,31,04/01/2017,03/31/2018
"19C0001113","Our Lady of The Lake Pontchartrain Surgery Center, LLC","4407 Hwy 190 E. Service Rd.","Covington",,"LA","70433",9852349700,98,2,0,99,93,6,1,96,89,9,2,95,88,11,1,95,,1293,439,34,04/01/2017,03/31/2018
"19C0001133","Oil Center Surgical Plaza","1000 W. Pinhook Rd, Suite 204","Lafayette",,"LA","70503",3372898216,99,1,0,99,95,4,1,97,94,5,1,97,93,6,1,97,,2160,1002,46,04/01/2017,03/31/2018
"20C0001012","Intermed Surgery Center","84 Marginal Way","Portland",,"ME","04101",2073472898,98,2,0,99,90,8,2,94,91,8,1,95,88,11,1,96,,1194,372,31,04/01/2017,03/31/2018
"21C0001043","Kaiser Foundation Health Plan of The Mid-Atlantic States, Inc.","10810 Connecticut Ave","Kensington",,"MD","20895",3018167284,,,,,,,,,,,,,,,,,"4",,,,,
"21C0001539","Gaithersburg Ambulatory Surgery Center","655 Watkins Mill Rd","Gaithersburg",,"MD","20879",3018166812,,,,,,,,,,,,,,,,,"4",,,,,
"21C0001556","LARGO AMBULATORY SURGERY CENTER","1221 Mercantile Lane","Largo",,"MD","20774",3016185500,,,,,,,,,,,,,,,,,"4",,,,,
"21C0001560","SOUTH BALTIMORE COUNTY MEDICAL CENTER ASC","1701 Twin Springs Road","Halethorpe",,"MD","21227",4107375757,,,,,,,,,,,,,,,,,"4",,,,,
"21C0001590","Dialysis Access Services, LLC","1666 Sulphur Spring Rd","Arbutus",,"MD","21227",,,,,,,,,,,,,,,,,,"4",,,,,
"21C0001594","Dialysis Access Services, LLC","2405 York Road, Suite 100","Timonium",,"MD","21093",,,,,,,,,,,,,,,,,,"4",,,,,
"22C0001011","Worcester Surgical Center","300 Grove St","Worcester",,"MA","01605",5087540700,96,4,0,98,92,6,2,95,84,14,2,94,87,13,0,95,,1252,449,36,04/01/2017,03/31/2018
"22C0001077","Cape Cod Surgery Center, Inc.","160 Falmouth Rd. Ste. B","Mashpee",,"MA","02649",7742384410,,,,,,,,,,,,,,,,,"4",,,,,
"23C0001020","Surgical Care Center of Michigan","750 East Beltline Ne","Grand Rapids",,"MI","49525",6165886520,,,,,,,,,,,,,,,,,"4",,,,,
"23C0001027","Lansing Surgery Center","1707 Lake Lansing Rd","Lansing",,"MI","48912",5172670033,98,2,0,99,90,8,2,94,87,12,1,94,87,12,1,95,,692,301,43,04/01/2017,03/31/2018
"23C0001031","Genesis Surgery Center","3400 E Jolly Rd.","Lansing",,"MI","48910",5177083200,97,3,0,99,93,6,1,96,90,9,1,95,89,10,1,96,,1105,591,53,04/01/2017,03/31/2018
"23C0001050","Northwest Michigan Surgery Center","4100 Park Forest Dr","Traverse City",,"MI","49684",2313928950,,,,,,,,,,,,,,,,,"4",,,,,
"23C0001053","East Paris Surgical Center, LLC","1000 East Paris Ave S.E.","Grand Rapids",,"MI","49546",6164643430,,,,,,,,,,,,,,,,,"4",,,,,
"23C0001061","West Bloomfield Surgery Center, LLC","2300 Haggerty Ste. 1055","West Bloomfield",,"MI","48323",2488966323,98,2,0,99,90,7,3,94,91,7,2,95,86,12,2,94,,1272,451,36,04/01/2017,03/31/2018
"23C0001071","Pain Treatment Centers of Michigan, LLC","4450 Fashion Square Blvd., Ste. 200","Saginaw",,"MI","48603",9797907950,98,2,0,99,90,8,2,94,89,10,1,95,89,10,1,96,,1026,461,45,04/01/2017,03/31/2018
"23C0001080","Walker Surgical Center, LLC","3300 Walker View Dr.","Walker",,"MI","49544",6165886560,,,,,,,,,,,,,,,,,"4",,,,,
"23C0001085","Towne Centre Surgery Center, LLC","4599 Town Center Rd.","Saginaw",,"MI","48604",9894973096,,,,,,,,,,,,,,,,,"4",,,,,
"23C0001109","Clarkston Surgery Center","5701 Bow Pointe Dr. Ste. 145","Clarkston",,"MI","48346",2489224800,98,2,0,99,93,5,2,95,89,9,2,95,88,11,1,96,,1225,538,44,04/01/2017,03/31/2018
"23C0001114","Surgical Institute of Monroe","1051 S. Telegraph Rd Ste 100","Monroe",,"MI","48161",7348698701,,,,,,,,,,,,,,,,,"4",,,,,
"24C0001010","Willmar Surgery Center","1320 South First St","Willmar",,"MN","56201",3202356506,97,3,0,98,92,7,1,96,81,18,1,92,83,16,1,94,,652,257,39,04/01/2017,03/31/2018
"24C0001048","TRIA Orthopaedic Center","8100 Northland Dr","Bloomington",,"MN","55431",9528065321,98,2,0,99,92,6,2,95,92,7,1,96,92,7,1,97,,1569,515,33,04/01/2017,03/31/2018
"24C0001060","Centracare Surgery Center","1900 Centracare Cir","St. Cloud",,"MN","56303",3202294964,,,,,,,,,,,,,,,,,"4",,,,,
"24C0001062","Fairview Maple Grove Medical Center, LLC","14500 99th Ave North","Maple Grove",,"MN","55369",7638981438,99,1,0,99,93,6,1,96,91,7,2,95,89,9,2,95,,1354,396,29,04/01/2017,03/31/2018
"24C0001074","Sanford Health Detroit Lakes Same Day Surgery Center","1245 Washington Ave.","Detroit Lakes",,"MN","56501",2188462078,,,,,,,,,,,,,,,,,"4",,,,,
"24C0001084","Marshal Surgery Center, LLC","1521 Carlson St, Ste. 200","Marshall",,"MN","56258",5075321928,99,1,0,100,95,4,1,97,91,8,1,95,87,12,1,95,"2",682,314,46,04/01/2017,03/31/2018
"24C0001089","University of Mn Health Clinics and Surgery Center","909 Fulton St Southeast","Minneapolis",,"MN","55455",6126727435,98,2,0,99,91,8,1,95,88,9,3,95,89,8,3,95,,1246,378,30,04/01/2017,03/31/2018
"24C0001093","Monticello Surgery Center","1013 Hart Blvd","Monticello",,"MN","55362",7632712268,,,,,,,,,,,,,,,,,"4",,,,,
"25C0001046","Columbus Orthopaedic Outpatient","640 Leigh Dr.","Columbus",,"MS","39705",6623287123,97,3,0,99,93,6,1,96,92,6,2,96,91,8,1,97,,1746,547,31,04/01/2017,03/31/2018
"25C0001058","Center for Digestive Health","589 Garfield St","Tupelo",,"MS","38801",6623774173,96,3,1,98,89,7,4,93,90,9,1,95,89,11,0,96,,1834,460,25,04/01/2017,03/31/2018
"26C0001021","Creekwood Surgery Center","211 Ne 54th St","Kansas City",,"MO","64118",8164554214,98,2,0,99,91,7,2,95,89,10,1,95,83,16,1,94,,1139,339,30,04/01/2017,03/31/2018
"26C0001060","South County Outpatient Endoscopy Services, LP","5139 Mattis Rd. Ste. 100","St. Louis",,"MO","63128",3147299780,99,1,0,99,94,5,1,96,93,6,1,96,90,9,1,96,,1390,673,48,04/01/2017,03/31/2018
"26C0001061","Manchester Ambulatory Surgery Center","1050 Old Des Peres Rd Suite 150","Saint Louis",,"MO","63131",3145692918,97,3,0,98,90,9,1,95,86,12,2,94,84,15,1,94,,1314,461,35,04/01/2017,03/31/2018
"26C0001066","Midwest Digestive Health Center LLC","3601 Ne Ralph Powell Rd","Lees Summit",,"MO","64064",8165254440,98,2,0,99,96,3,1,97,92,7,1,96,90,9,1,96,,1203,454,38,04/01/2017,03/31/2018
"26C0001069","Briarcliff Surgery Center","4150 N. Mulberry Dr, Ste. 100","Kansas City",,"MO","64116",8162144364,96,3,1,98,92,7,1,95,89,9,2,95,85,12,3,94,,1315,476,36,04/01/2017,03/31/2018
"26C0001070","Liberty Ambulatory Surgery Center, LP","834 W. Kansas Ave.","Liberty",,"MO","64068",8168832004,97,3,0,98,92,7,1,95,89,9,2,95,88,10,2,95,,884,313,35,04/01/2017,03/31/2018
"26C0001080","Mid Rivers Surgery Center","5401 Veterans Memoiral Parkway","St. Peters",,"MO","63376",6364410906,97,3,0,98,91,8,1,95,88,10,2,95,85,14,1,94,,1460,500,34,04/01/2017,03/31/2018
"26C0001082","Chesterfield Ambulatory Surgery Center dba Chesterfield Surgery Center","17050 Baxter Rd Suite 110","Chesterfield",,"MO","63005",6365370122,98,2,0,99,94,5,1,96,89,10,1,95,87,12,1,95,,1366,507,37,04/01/2017,03/31/2018
"26C0001087","Advanced Ambulatory Surgical Care","10448 Old Olive St Rd, Suite 100","Creve Coeur",,"MO","63141",3147438091,97,3,0,98,88,9,3,93,86,10,4,93,82,16,2,93,,1266,375,30,04/01/2017,03/31/2018
"26C0001088","Surgery Center of Columbia","305 N Keene St. Ste. 107","Columbia",,"MO","65201",5732566272,96,4,0,98,93,6,1,96,89,10,1,95,89,10,1,96,,1179,532,45,04/01/2017,03/31/2018
"26C0001093","St. Louis Surgical Center","760 Office Pkwy","Creve Coeur",,"MO","63141",3149954700,98,2,0,99,92,6,2,95,89,10,1,95,87,12,1,95,,1027,391,38,04/01/2017,03/31/2018
"26C0001097","Riverside Ambulatory Surgery Center","100 Village Square","Hazelwood",,"MO","63042",3143738931,97,3,0,99,91,7,2,94,88,10,2,94,82,16,2,93,,1184,391,33,04/01/2017,03/31/2018
"26C0001099","Manchester Ambulatory Surgery Center, LP","1040 Old Des Peres Rd.","Des Peres",,"MO","63131",3147752264,97,2,1,98,92,6,2,95,82,14,4,92,79,18,3,91,,1057,339,32,04/01/2017,03/31/2018
"26C0001103","Cedar Oaks Surgery Center","706 Burkarth Rd","Warrensburg",,"MO","64093",6607478868,,,,,,,,,,,,,,,,,"4",,,,,
"26C0001109","Landmark Surgery Center","9701 Landmark Parkway,suite 100","St. Louis",,"MO","63127",3147290100,99,1,0,99,91,7,2,95,90,9,1,95,83,17,0,94,,1237,416,34,04/01/2017,03/31/2018
"26C0001112","Frontenac Surgery & Spine Care Center","10435 Clayton Rd. Ste. 110","Frontenac",,"MO","63131",3149953990,97,3,0,98,89,10,1,94,90,9,1,96,89,10,1,96,,1401,460,33,04/01/2017,03/31/2018
"26C0001116","Mason Ridge Ambulatory Surgery Center LP","12855 N 40 Dr Suite 150","Saint Louis",,"MO","63141",3143361130,98,2,0,99,94,5,1,96,94,5,1,97,93,6,1,97,,1094,444,41,04/01/2017,03/31/2018
"26C0001117","Twin Cities Ambulatory Surgery Center, LP","1101 W. Gannon Dr.","Festus",,"MO","63028",6369315997,96,4,0,98,91,7,2,95,84,14,2,94,79,20,1,93,,1003,422,42,04/01/2017,03/31/2018
"26C0001138","Old Tesson Surgery Center","12639 Old Tesson Ste. 130","St. Louis",,"MO","63128",3147290785,96,4,0,98,91,7,2,94,87,11,2,94,84,14,2,93,,707,317,45,04/01/2017,03/31/2018
"27C0001020","Yellowstone Surgery Center","1144 N. 28th St.","Billings",,"MT","59101",4062375900,98,2,0,99,90,9,1,95,88,11,1,95,91,8,1,97,,1255,413,33,04/01/2017,03/31/2018
"27C0001022","Orthopedic Surgery Center, LLC","111 Sunnyview Lane","Kalispell",,"MT","59901",4062576700,,,,,,,,,,,,,,,,,"4",,,,,
"27C0001026","POLSON HEALTH OUTPATIENT CENTER","106 Ridgewater Drive, Suite B","Polson",,"MT","59860",4068837709,,,,,,,,,,,,,,,,,"4",,,,,
"29C0001000","Southwest Medical Associates Ambulatory Surgery Center","2450 West Charleston Blvd.","Las Vegas",,"NV","89102",7028778638,,,,,,,,,,,,,,,,,"4",,,,,
"29C0001036","Parkway Surgery Center","100 N. Green Valley Pkwy. #125","Henderson",,"NV","89074",7026164954,96,4,0,98,89,8,3,93,84,15,1,94,82,15,3,92,,1093,332,30,04/01/2017,03/31/2018
"29C0001073","Durango Outpatient Surgery Center","8530 W. Sunset Rd. Ste. 100","Las Vegas",,"NV","89113",7027895710,94,5,1,96,87,9,4,92,83,15,2,93,82,15,3,93,,950,230,24,04/01/2017,03/31/2018
"29C0001102","Parkway Surgery Center at Horizon Ridge","10561 Jeffreys St., Ste. 120","Henderson",,"NV","89052",7027248900,98,2,0,99,90,8,2,94,92,6,2,96,88,12,0,96,,572,178,31,04/01/2017,03/31/2018
"30C0001014","Dartmouth Hitchcock Ambulatory Surgery Center","100 Hitchcock Way","Manchester",,"NH","03104",6036291800,98,2,0,99,95,4,1,97,91,8,1,96,89,10,1,96,,2751,724,26,04/01/2017,03/31/2018
"30C0001021","Hillside Surgery Center","14 Maple St, Ste. 110","Gilford",,"NH","03249",6035247514,,,,,,,,,,,,,,,,,"4",,,,,
"30C0001024","Laconia Clinic Ambulatory Surgery Center","724 N. Main St.","Laconia",,"NH","03246",6035272760,,,,,,,,,,,,,,,,,"4",,,,,
"30C0001031","Dartmough-Hitchcock Clinic","One Medical Center Dr","Lebanon",,"NH","03756",6036503052,99,1,0,99,93,6,1,96,93,6,1,96,90,8,2,96,,2611,831,32,04/01/2017,03/31/2018
"31C0001099","Shore Outpatient Surgicenter, LLC","360 Rt. 70","Lakewood",,"NJ","08701",7329429835,96,4,0,98,87,9,4,92,84,13,3,93,80,18,2,92,,1224,424,35,04/01/2017,03/31/2018
"31C0001118","Central Jersey Surgery Center, LLC","97 Corbett Way","Eatontown",,"NJ","07724",7324602777,98,2,0,99,89,9,2,94,86,12,2,94,83,15,2,93,,1084,367,34,04/01/2017,03/31/2018
"31C0001126","Shrewsbury Surgery Center","655 Shrewsbury Ave.","Shrewsbury",,"NJ","07702",7324506000,99,1,0,99,90,7,3,94,91,8,1,96,90,8,2,96,,1180,364,31,04/01/2017,03/31/2018
"31C0001150","Denville Surgery Center, LLC","3130 Route10 West Suite 200","Denville",,"NJ","07834",9733283475,97,3,0,98,90,8,2,94,86,12,2,93,82,16,2,93,,1326,451,34,04/01/2017,03/31/2018
"31C0001152","Hackensack Endoscopy Center","170 Prospect Ave. #10","Hackensack",,"NJ","07601",2014980030,97,3,0,98,89,8,3,93,87,11,2,94,85,13,2,94,,1390,463,33,04/01/2017,03/31/2018
"31C0001153","Toms River Surgery Center","1430 Hooper Ave. Ste. 301","Toms River",,"NJ","08753",7322402277,98,2,0,99,93,6,1,96,92,8,0,96,90,9,1,96,,1393,510,37,04/01/2017,03/31/2018
"31C0001162","Suburban Endoscopy Center","799 Bloomfield Ave.","Verona",,"NJ","07044",9735711600,98,2,0,99,91,6,3,94,83,15,2,94,88,10,2,95,,1357,417,31,04/01/2017,03/31/2018
"31C0001193","Lakewood Surgery Center, LLC","1215 Route 70, Ste. 2000","Lakewood",,"NJ","08701",7327191800,98,2,0,99,93,6,1,96,89,9,2,95,85,13,2,94,,1320,362,27,04/01/2017,03/31/2018
"31C0001197","Metropolitan Surgery Center, LLC","433 Hackensack Ave Ll01","Hackensack",,"NJ","07601",2015276800,94,5,1,97,87,10,3,92,80,17,3,92,76,21,3,90,,1268,363,29,04/01/2017,03/31/2018
"31C0001199","Northern Monmouth Regional Surgery Center","195 Route 9 South Ste. 210","Manalapan",,"NJ","07726",7323586500,98,2,0,99,89,9,2,94,87,12,1,95,85,15,0,95,,915,268,29,04/01/2017,03/31/2018
"31C0001205","Endoscopy Center of Bergen County","80 Eisenhower Dr.","Paramus",,"NJ","07652",2013361100,98,2,0,99,86,11,3,91,89,10,1,95,86,13,1,94,,908,251,28,04/01/2017,03/31/2018
"31C0001216","Ambulatory Surgery Center of Somerville, LLC","1 Us Hwy 206","Somerville",,"NJ","08876",9083938360,98,2,0,99,92,6,2,95,91,7,2,95,88,11,1,96,,1266,389,31,04/01/2017,03/31/2018
"31C0001218","Millennium Surgical Center","2090 Springdale Rd., Suite A","Cherry Hill",,"NJ","08003",8567514555,97,3,0,98,92,6,2,95,87,10,3,95,86,11,3,94,,1476,326,22,04/01/2017,03/31/2018
"31C0001253","Khs Ambulatory Surgery Center, LLC","405 Hurffville-Crosskeys Rd.","Sewell",,"NJ","08080",8565822072,98,2,0,99,93,5,2,96,87,11,2,95,85,12,3,93,,899,356,40,04/01/2017,03/31/2018
"31C0001269","Surgical Specialists at Princeton","136 Main St. Ste. 100","Princeton",,"NJ","08540",6098532261,97,3,0,99,91,7,2,94,85,13,2,94,84,14,2,93,,1288,391,30,04/01/2017,03/31/2018
"31C0001273","Liberty Ambulatory Surgery Center","377 Jersey Ave. Ste. 510","Jersey City",,"NJ","07302",2018783210,97,3,0,99,92,6,2,95,91,7,2,95,85,14,1,94,,987,211,21,04/01/2017,03/31/2018
"31C0001316","Jackson Surgical Center LLC","27 S Cooks Bridge Rd Suite L2","Jackson",,"NJ","08527",9727633893,,,,,,,,,,,,,,,,,"4",,,,,
"32C0001107","New Mexico Orthopaedic Surgery Center","201 Cedar Se, Suite 7650","Albuquerque",,"NM","87106",5057244395,95,5,0,97,90,7,3,94,85,12,3,94,83,15,2,93,,1193,335,28,04/01/2017,03/31/2018
"32C0001119","ABQ Health Partners","5400 Gibson Blvd. Se","Albuquerque",,"NM","87104",5052627126,,,,,,,,,,,,,,,,,"4",,,,,
"34C0001032","Iredell Surgical Center","1720 Davie Ave.","Statesville",,"NC","28677",7048710081,,,,,,,,,,,,,,,,,"4",,,,,
"34C0001103","High Point Surgery Center","600 N. Lindsay St","High Point",,"NC","27262",3368786330,,,,,,,,,,,,,,,,,"4",,,,,
"34C0001112","Novant Health South Park Surgery CTR","6035 Fairview Rd","Charlotte",,"NC","28210",3364147673,97,3,0,98,92,7,1,95,87,10,3,94,85,12,3,93,,1057,344,33,04/01/2017,03/31/2018
"34C0001137","Carolinas Gastroenterology Center Ballantyne","4828 Airport Center Parkway","Charlotte",,"NC","28211",7042744974,,,,,,,,,,,,,,,,,"4",,,,,
"34C0001138","Carolina Gastroenterology Center Medical Center Plaza","4828 Airport Center Parkway","Charlotte",,"NC","28211",7045744974,,,,,,,,,,,,,,,,,"4",,,,,
"34C0001151","Hanover Medical Specialists PA","1515 Doctors Cir Hanover Medica","Wilmington",,"NC","28401",9107631219,,,,,,,,,,,,,,,,,"4",,,,,
"34C0001154","Presbyterian SameDay Surgery Center at Ballantyne","14215 Ballantyne Corporate Place","Charlotte",,"NC","28277",3364147673,98,2,0,99,93,6,1,96,95,4,1,97,89,9,2,95,,634,142,22,04/01/2017,03/31/2018
"34C0001159","Private Diagnostic Clinic, PLLC","Brier Creek Medical Pavillion, 10207 Cerny St., St","Raleigh",,"NC","27617",9196600620,96,3,1,98,91,8,1,95,90,9,1,96,86,13,1,95,,894,203,23,04/01/2017,03/31/2018
"34C0001165","Wake Endoscopy Center, LLC","2601 Lake Dr. S 201","Raleigh",,"NC","27607",9193413529,96,4,0,98,93,6,1,96,86,12,2,94,87,12,1,95,"2",2193,394,18,04/01/2017,03/31/2018
"34C0001168","Presbyterian SameDay Surgery Center at Huntersville","10030 Gilead Rd","Huntersville",,"NC","28078",7047467662,97,3,0,98,93,6,1,96,91,8,1,96,91,8,1,97,,1364,449,33,04/01/2017,03/31/2018
"34C0001177","Union Health Services dba Union West Surgery Center","6068 Hwy 74 West","Indian Trail",,"NC","28079",7046671970,,,,,,,,,,,,,,,,,"4",,,,,
"34C0001180","Novant Health Presbyterian Matthews Surgery CTR","710 Park Center Dr","Matthews",,"NC","28105",3364147673,98,2,0,99,90,7,3,93,88,9,3,94,85,11,4,93,,1747,395,23,04/01/2017,03/31/2018
"35C0001025","Sanford Health - Dickinson Ambulatory Surgery CTR","2615 Fairway St","Dickinson",,"ND","58601",7014566000,,,,,,,,,,,,,,,,,"4",,,,,
"36C0001097","Reynolds Rd Surgical Center LTD dba Wildwood Surgical Center","2865 North Reynolds Rd, Suite 190","Toledo",,"OH","43615",4195787547,,,,,,,,,,,,,,,,,"4",,,,,
"36C0001140","Mercy Premium Surgery Center","5319 Hoag Dr","Elyria",,"OH","44035",4409306050,,,,,,,,,,,,,,,,,"4",,,,,
"36C0001155","New Horizons Surgery Center, LLC","1167 Independence Ave.","Marion",,"OH","43302",7403755854,97,3,0,98,91,7,2,95,88,11,1,95,87,12,1,95,,996,366,37,04/01/2017,03/31/2018
"36C0001191","Surgery Center of Canfield, LLC","4147 Westford Dr.","Canfield",,"OH","44406",3307021489,98,2,0,99,91,8,1,95,91,8,1,96,89,10,1,96,,1264,556,44,04/01/2017,03/31/2018
"36C0001222","The Christ Hosptial Spine Surgery Center","4020 Smith Rd.","Cincinnati",,"OH","45209",5133381520,97,3,0,98,92,7,1,96,93,6,1,96,89,9,2,95,,1273,576,45,04/01/2017,03/31/2018
"37C0001032","Mcgee Eye Surgery Center","1000 N. Lincoln Blvd. #150","Oklahoma City",,"OK","73104",4052328696,96,4,0,98,90,9,1,95,88,10,2,95,90,8,2,96,"2",3328,1239,37,04/01/2017,03/31/2018
"37C0001055","Memorial Surgery Center, LLC","8131 S. Memorial Dr., Suite 107","Tulsa",,"OK","74133",9182525114,95,4,1,97,89,8,3,93,83,14,3,93,80,17,3,92,,870,362,42,04/01/2017,03/31/2018
"38C0001030","Kaiser Permanante dba Interstate Ambulatory Surgery Center","3500 N Interstate Ave.","Portland",,"OR","97227",9713103089,,,,,,,,,,,,,,,,,"4",,,,,
"38C0001031","Willamette Surgery Center","1445 State St","Salem",,"OR","97301",5033653965,97,3,0,98,92,7,1,96,86,11,3,94,86,12,2,94,,1816,636,35,04/01/2017,03/31/2018
"38C0001032","Kaiser Permanente dba Skyline Ambulatory Surgery Center","5125 Skyline Rd. South","Salem",,"OR","97306",9713103082,,,,,,,,,,,,,,,,,"4",,,,,
"38C0001046","Northwest Gastroenterology Clinic, LLC","1130 Nw 22nd Ave, Ste. 410","Portland",,"OR","97210",5032297178,,,,,,,,,,,,,,,,,"4",,,,,
"38C0001052","Aesthetic Surgery Center of Eugene Inc","2550 Willakenzie Ste #1","Eugene",,"OR","97401",5414340922,,,,,,,,,,,,,,,,,"4",,,,,
"38C0001054","Cascade Spine Center","6464 Sw Borland Rd Ste A-3","Tualatin",,"OR","97062",9714043366,97,3,0,99,95,4,1,97,86,12,2,95,88,10,2,95,,1042,418,40,04/01/2017,03/31/2018
"38C0001056","Center for Specialty Surgery, LLC","11782 Sw Barnes Rd. #200","Portland",,"OR","97225",5039064306,98,2,0,99,91,7,2,95,85,14,1,95,90,9,1,96,,867,272,31,04/01/2017,03/31/2018
"38C0001067","The Orthopedic and Sports Medicine Center","1515 Nw 18th Ave Suite 300","Portland",,"OR","97209",5032248399,97,3,0,98,92,7,1,95,88,11,1,95,86,12,2,94,,1215,381,31,04/01/2017,03/31/2018
"38C0001074","East Portland Surgery Center","9200 Se 91st Ave. Ste. 100","Portland",,"OR","97086",5037726160,96,4,0,98,90,9,1,94,85,13,2,94,84,14,2,94,,1652,539,33,04/01/2017,03/31/2018
"38C0001085","Kaiser Permanente Sunnybrook Surgery Center","9900 Se Sunnyside Rd.","Clackamas",,"OR","97015",5035714047,,,,,,,,,,,,,,,,,"4",,,,,
"39C0001017","Southwestern Ambulatory Surgery Center","500 Lewis Run Rd, Ste.202","West Mifflin",,"PA","15122",4124696964,97,3,0,98,89,9,2,93,81,16,3,92,80,17,3,92,,1011,476,47,04/01/2017,03/31/2018
