State,Condition,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
"ID","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","69","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","90","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","75","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","81","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","77","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"LA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","96","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","93","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MD","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","143","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ME","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","125","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","96","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","84","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","86","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MP","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","76","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","98","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","79","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ND","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","106","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","80","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","163","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NJ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","131","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NM","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","111","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NV","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","117","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","127","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","74","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","74","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","83","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","103","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"RI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","132","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","88","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SD","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","76","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","72","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TX","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","92","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"UT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","71","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","88","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","119","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","125","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","63","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WV","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","70","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","52","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","221","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","99","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","89","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AZ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","106","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","157","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","99","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","128","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","278","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","203","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"FL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","115","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","121","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GU","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"HI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","170","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","161","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ID","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","82","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","107","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","108","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","83","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","106","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"LA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","159","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","124","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MD","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","161","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ME","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","129","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","102","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","116","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","105","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MP","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","84","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","128","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","104","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ND","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","114","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","107","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","137","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NJ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","145","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NM","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","121","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NV","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","169","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","174","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","94","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","85","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","113","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","127","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"RI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","77","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SD","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","89","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","91","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TX","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","134","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"UT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","73","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","103","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","164","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","80","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WV","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","95","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_HIGH_MIN","109","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","315","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","91","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","126","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AZ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","104","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","190","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","104","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","195","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","310","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","168","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"FL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","146","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)","ED_2b_VERY_HIGH_MIN","140","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
