Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Hospital overall rating footnote,Location
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,3104783711,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"11301 WILSHIRE BLVD.
LOS ANGELES, CA
(34.053085, -118.4529)"
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,6508583939,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"3801 MIRANDA AVENUE
PALO ALTO, CA
(37.402799, -122.141679)"
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"113 HOLLAND AVENUE
ALBANY, NY
(42.651508, -73.776343)"
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"200 SPRINGS ROAD
BEDFORD, MA
(42.502384, -71.272422)"
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,7082028387,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"5000 SOUTH 5TH AVENUE
HINES, IL
(41.86061, -87.84081)"
45090F,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),7400 MERTON MINTER BLVD.,SAN ANTONIO,TX,78229,BEXAR,2106175300,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"7400 MERTON MINTER BLVD.
SAN ANTONIO, TX
(29.506888, -98.578929)"
18006F,LOUISVILLE VA MEDICAL CENTER,800 ZORN AVENUE,LOUISVILLE,KY,40206,JEFFERSON,5022874000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"800 ZORN AVENUE
LOUISVILLE, KY
(38.270722, -85.694074)"
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1100 N. COLLEGE AVENUE
FAYETTEVILLE, AR
(36.174211, -94.139024)"
25042F,VA GULF COAST HEALTHCARE SYSTEM,400 VETERANS AVENUE,BILOXI,MS,39531,HARRISON,2285235000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"400 VETERANS AVENUE
BILOXI, MS
(30.410716, -88.946928)"
27003F,VA MONTANA HEALTHCARE SYSTEM,3687 VETERANS DRIVE,FORT HARRISON,MT,59636,LEWIS AND CLARK,4064477900,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"3687 VETERANS DRIVE
FORT HARRISON, MT
(46.61772, -112.10197)"
26009F,ST LOUIS-JOHN COCHRAN VA MEDICAL CENTER,915 NORTH GRAND,ST. LOUIS,MO,63106,SAINT LOUIS CITY,3146524100,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"915 NORTH GRAND
ST. LOUIS, MO
(38.641448, -90.229852)"
38003F,PORTLAND VA MEDICAL CENTER,3710 SW US VETERANS HOSPITAL,PORTLAND,OR,97239,MULTNOMAH,5032208262,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"3710 SW US VETERANS HOSPITAL
PORTLAND, OR
(45.496307, -122.683586)"
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"423 EAST 23RD STREET
NEW YORK, NY
(40.736288, -73.977119)"
17006F,VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH,4101 S. 4TH STREET,LEAVENWORTH,KS,66048,LEAVENWORTH,9136822000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"4101 S. 4TH STREET
LEAVENWORTH, KS
(39.278152, -94.899906)"
44017F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM - MURFREESBORO,3400 LEBANON PIKE,MURFREESBORO,TN,37129,RUTHERFORD,6158676000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"3400 LEBANON PIKE
MURFREESBORO, TN
(35.910519, -86.383787)"
25043F,G. V. (SONNY) MONTGOMERY VA MEDICAL CENTER (JACKSON),1500 E. WOODROW WILSON DRIVE,JACKSON,MS,39216,HINDS,6013624471,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1500 E. WOODROW WILSON DRIVE
JACKSON, MS
(32.326805, -90.168601)"
50030F,SEATTLE VA MEDICAL CENTER (VA PUGET SOUND HEALTHCARE SYSTEM),1660 S. COLUMBIAN WAY,SEATTLE,WA,98108,KING,2067642299,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1660 S. COLUMBIAN WAY
SEATTLE, WA
(47.561986, -122.311032)"
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"800 IRVING AVE.
SYRACUSE, NY
(43.038832, -76.138151)"
06005F,VA EASTERN COLORADO HEALTHCARE SYSTEM,1055 CLERMONT STREET,DENVER,CO,80220,DENVER,3033932800,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1055 CLERMONT STREET
DENVER, CO
(39.731905, -104.935149)"
45066F,DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM),4500 S. LANCASTER ROAD,DALLAS,TX,75216,DALLAS,2147428387,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"4500 S. LANCASTER ROAD
DALLAS, TX
(32.694165, -96.792971)"
43002F,VA BLACK HILLS HEALTHCARE SYSTEM - FORT MEADE,113 COMANCHE ROAD,FORT MEADE,SD,57741,MEADE,6053472511,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"113 COMANCHE ROAD
FORT MEADE, SD
(44.412816, -103.478243)"
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,3125698387,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"820 S DAMEN STREET
CHICAGO, IL
(41.870597, -87.676429)"
35002F,FARGO VA MEDICAL CENTER,2101 ELM STREET,FARGO,ND,58102,CASS,7012323241,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"2101 ELM STREET
FARGO, ND
(46.906445, -96.776868)"
50011F,SPOKANE VA MEDICAL CENTER,4815 N. ASSEMBLY STREET,SPOKANE,WA,99205,SPOKANE,5094347000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"4815 N. ASSEMBLY STREET
SPOKANE, WA
(47.702535, -117.475567)"
18007F,LEXINGTON VA MEDICAL CENTER,1101 VETERANS DRIVE,LEXINGTON,KY,40502,FAYETTE,8592334511,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1101 VETERANS DRIVE
LEXINGTON, KY
(38.029351, -84.506092)"
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"650 E. INDIAN SCHOOL ROAD
PHOENIX, AZ
(33.494745, -112.066121)"
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,6189975311,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"2401 WEST MAIN
MARION, IL
(37.729791, -88.957218)"
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"500 HIGHWAY 89 NORTH
PRESCOTT, AZ
(34.554604, -112.452652)"
51004F,HUNTINGTON VA MEDICAL CENTER,1540 SPRING VALLEY ROAD,HUNTINGTON,WV,25704,WAYNE,3044290241,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1540 SPRING VALLEY ROAD
HUNTINGTON, WV
(38.384145, -82.517504)"
33020F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN,800 POLY PLACE,BROOKLYN,NY,11209,KINGS,7188366600,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"800 POLY PLACE
BROOKLYN, NY
(40.609461, -74.02437)"
53005F,SHERIDAN VA MEDICAL CENTER,1898 FORT ROAD,SHERIDAN,WY,82801,SHERIDAN,3076721675,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"1898 FORT ROAD
SHERIDAN, WY
(44.829532, -106.988868)"
17005F,COLMERY-O'NEIL VA MEDICAL CENTER,2200 SW GAGE BOULEVARD,TOPEKA,KS,66622,SHAWNEE,9136822000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"2200 SW GAGE BOULEVARD
TOPEKA, KS
(39.027448, -95.724956)"
52002F,TOMAH VA MEDICAL CENTER,500 EAST VETERANS STREET,TOMAH,WI,54660,MONROE,6083723971,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"500 EAST VETERANS STREET
TOMAH, WI
(44.001108, -90.49392)"
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1601 KIRKWOOD HIGHWAY
WILMINGTON, DE
(39.738806, -75.60515)"
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CITY,8046755000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1201 BROAD ROCK BOULEVARD
RICHMOND, VA
(37.498719, -77.470208)"
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"200 VETERANS AVENUE
BECKLEY, WV
(37.766084, -81.192024)"
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,2175543000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"1900 E. MAIN
DANVILLE, IL
(40.131808, -87.59243)"
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"215 PERRY HILL ROAD
MONTGOMERY, AL
(32.37896, -86.246406)"
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"3601 SOUTH SIXTH AVENUE
TUCSON, AZ
(32.181434, -110.968281)"
33014F,VA HUDSON VALLEY HEALTHCARE SYSTEM - CASTLE POINT,41 CASTLE POINT ROAD,WAPPINGERS FALLS,NY,12590,DUTCHESS,8458312000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"41 CASTLE POINT ROAD
WAPPINGERS FALLS, NY
(41.540469, -73.96222)"
42011F,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,COLUMBIA,SC,29209,RICHLAND,8036957980,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"6439 GARNERS FERRY ROAD
COLUMBIA, SC
(33.979149, -80.960977)"
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM),3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"3495 BAILEY AVENUE
BUFFALO, NY
(42.951136, -78.81373)"
23005F,IRON MOUNTAIN MI VA MEDICAL CENTER,325 EAST H STREET,IRON MOUNTAIN,MI,49801,DICKINSON,9067743300,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"325 EAST H STREET
IRON MOUNTAIN, MI
(45.811478, -88.061578)"
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CITY,7577229961,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"100 EMANCIPATION DRIVE
HAMPTON, VA
(37.018442, -76.330855)"
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,2604265431,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"2121 LAKE AVENUE
FORT WAYNE, IN
(41.089772, -85.108483)"
24002F,ST CLOUD VA MEDICAL CENTER,4801 VETERANS DRIVE,ST. CLOUD,MN,56303,STEARNS,3202521670,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"4801 VETERANS DRIVE
ST. CLOUD, MN
(45.567582, -94.217341)"
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,9098257084,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"11201 BENTON STREET
LOMA LINDA, CA
(34.050282, -117.252416)"
46002F,VA SALT LAKE CITY HEALTHCARE - GEORGE E. WAHLEN VA MEDICAL CENTER,500 FOOTHILL BLVD.,SALT LAKE CITY,UT,84148,SALT LAKE,8015841211,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"500 FOOTHILL BLVD.
SALT LAKE CITY, UT
(40.758438, -111.841375)"
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,3175540000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1481 W. TENTH STREET
INDIANAPOLIS, IN
(39.779717, -86.186913)"
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM,5409822463,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1970 ROANOKE BOULEVARD
SALEM, VA
(37.276804, -80.021604)"
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1100 TUNNEL ROAD
ASHEVILLE, NC
(35.587106, -82.485056)"
45060F,VA AMARILLO HEALTHCARE SYSTEM,6010 AMARILLO BLVD. WEST,AMARILLO,TX,79106,POTTER,8063559703,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"6010 AMARILLO BLVD. WEST
AMARILLO, TX
(35.203175, -101.905207)"
34017F,W.G. (BILL) HEFNER SALISBURY VA MEDICAL CENTER (SALSBURY),1601 BRENNER AVENUE,SALISBURY,NC,28144,ROWAN,7046389000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1601 BRENNER AVENUE
SALISBURY, NC
(35.683593, -80.486145)"
42029F,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,CHARLESTON,SC,29401,CHARLESTON,8435775011,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"109 BEE STREET
CHARLESTON, SC
(32.785313, -79.953355)"
23011F,VA ANN ARBOR HEALTHCARE SYSTEM,2215 FULLER ROAD,ANN ARBOR,MI,48105,WASHTENAW,7347697100,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"2215 FULLER ROAD
ANN ARBOR, MI
(42.287103, -83.712175)"
