Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnotes,Measure Start Date,Measure End Date
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,121,477,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,44,500,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,3,30,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Preventive Care,IMM-2,Influenza Immunization,85,247,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,0,16,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
10018F,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,ESCAMBIA,(850) 505-6601,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,231,247,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,69,244,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Preventive Care,IMM-2,Influenza Immunization,73,295,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,101,486,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,29,482,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,8,13,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,365,337,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,85,280,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Preventive Care,IMM-2,Influenza Immunization,39,224,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,141,475,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,54,469,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,4,27,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,269,587,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,71,585,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Preventive Care,IMM-2,Influenza Immunization,53,494,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,123,418,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,26,487,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,279,151,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,85,147,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Preventive Care,IMM-2,Influenza Immunization,47,138,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,110,464,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,43,480,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,0,47,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,361,254,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,73,207,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Preventive Care,IMM-2,Influenza Immunization,62,233,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,145,418,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,54,352,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
