State,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
"WV","Catheter Associated Urinary Tract Infections (ICU + select Wards)","HAI_2_SIR","0.599","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WY","Catheter Associated Urinary Tract Infections (ICU + select Wards)","HAI_2_SIR","0.422","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AK","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","2.035","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AL","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.842","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AR","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.294","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AS","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AZ","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.680","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.090","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CO","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.960","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CT","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.261","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DC","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.980","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DE","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.096","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"FL","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.794","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.983","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GU","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"HI","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.076","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.881","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ID","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.237","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IL","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.804","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IN","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.891","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KS","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.988","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KY","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.844","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"LA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.909","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.156","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MD","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.948","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ME","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.708","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MI","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.794","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MN","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.908","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MO","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.014","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MP","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MS","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.800","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MT","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.428","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NC","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.962","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ND","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.196","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NE","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.175","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NH","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.179","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NJ","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.974","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NM","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.168","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NV","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.800","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NY","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.061","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OH","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.817","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OK","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.816","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OR","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.166","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.908","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PR","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.013","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"RI","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.612","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SC","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.031","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SD","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.599","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TN","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.779","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TX","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.891","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"UT","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.225","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.088","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VI","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VT","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.473","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.242","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WI","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","1.070","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WV","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.707","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WY","Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit","HAI_2_CI_UPPER","0.877","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AK","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.954","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AL","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.689","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AR","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","1.020","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AS","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AZ","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.527","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","1.002","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CO","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.747","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CT","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.990","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DC","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.657","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DE","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.606","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"FL","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.709","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.843","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GU","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"HI","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.656","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.625","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ID","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.779","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IL","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.683","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IN","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.724","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KS","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.721","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KY","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.666","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"LA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.741","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.983","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MD","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.752","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ME","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","1.113","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MI","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.672","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MN","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.707","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MO","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.846","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MP","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MS","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.595","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MT","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.748","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NC","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.824","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ND","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.723","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NE","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.797","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NH","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.742","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NJ","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.809","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NM","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.794","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NV","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.588","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NY","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.961","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OH","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.709","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OK","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.633","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OR","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.880","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.802","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PR","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.638","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"RI","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","1.039","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SC","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.826","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SD","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.932","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TN","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.646","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TX","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.801","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"UT","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.864","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.906","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VI","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VT","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.758","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WA","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","1.027","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WI","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.857","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WV","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.505","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WY","Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit","HAI_2_CI_LOWER","0.171","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AK","SSI - Colon Surgery","HAI_3_SIR","1.092","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AL","SSI - Colon Surgery","HAI_3_SIR","0.682","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AR","SSI - Colon Surgery","HAI_3_SIR","1.096","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AS","SSI - Colon Surgery","HAI_3_SIR","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AZ","SSI - Colon Surgery","HAI_3_SIR","0.963","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CA","SSI - Colon Surgery","HAI_3_SIR","0.947","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CO","SSI - Colon Surgery","HAI_3_SIR","1.056","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CT","SSI - Colon Surgery","HAI_3_SIR","0.859","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DC","SSI - Colon Surgery","HAI_3_SIR","0.897","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DE","SSI - Colon Surgery","HAI_3_SIR","0.625","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"FL","SSI - Colon Surgery","HAI_3_SIR","0.788","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GA","SSI - Colon Surgery","HAI_3_SIR","0.793","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GU","SSI - Colon Surgery","HAI_3_SIR","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"HI","SSI - Colon Surgery","HAI_3_SIR","0.891","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IA","SSI - Colon Surgery","HAI_3_SIR","1.047","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ID","SSI - Colon Surgery","HAI_3_SIR","0.927","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IL","SSI - Colon Surgery","HAI_3_SIR","0.890","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IN","SSI - Colon Surgery","HAI_3_SIR","0.851","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KS","SSI - Colon Surgery","HAI_3_SIR","0.951","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KY","SSI - Colon Surgery","HAI_3_SIR","0.997","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"LA","SSI - Colon Surgery","HAI_3_SIR","0.963","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MA","SSI - Colon Surgery","HAI_3_SIR","0.873","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MD","SSI - Colon Surgery","HAI_3_SIR","0.937","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ME","SSI - Colon Surgery","HAI_3_SIR","1.018","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MI","SSI - Colon Surgery","HAI_3_SIR","1.066","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MN","SSI - Colon Surgery","HAI_3_SIR","1.135","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MO","SSI - Colon Surgery","HAI_3_SIR","0.832","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MP","SSI - Colon Surgery","HAI_3_SIR","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MS","SSI - Colon Surgery","HAI_3_SIR","0.968","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MT","SSI - Colon Surgery","HAI_3_SIR","1.191","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NC","SSI - Colon Surgery","HAI_3_SIR","0.832","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ND","SSI - Colon Surgery","HAI_3_SIR","1.348","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NE","SSI - Colon Surgery","HAI_3_SIR","1.320","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NH","SSI - Colon Surgery","HAI_3_SIR","1.335","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NJ","SSI - Colon Surgery","HAI_3_SIR","0.670","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NM","SSI - Colon Surgery","HAI_3_SIR","1.361","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NV","SSI - Colon Surgery","HAI_3_SIR","1.043","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NY","SSI - Colon Surgery","HAI_3_SIR","1.012","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OH","SSI - Colon Surgery","HAI_3_SIR","0.790","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OK","SSI - Colon Surgery","HAI_3_SIR","0.888","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OR","SSI - Colon Surgery","HAI_3_SIR","0.804","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PA","SSI - Colon Surgery","HAI_3_SIR","0.840","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PR","SSI - Colon Surgery","HAI_3_SIR","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"RI","SSI - Colon Surgery","HAI_3_SIR","1.468","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SC","SSI - Colon Surgery","HAI_3_SIR","0.921","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
