Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,TRISS Measure ID,Survey Question,Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,Answer Percent,Answer Percent Footnote,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate,Survey Response Rate Footnote,Measure Start Date,Measure End Date
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,4,,Not Applicable,,915,,39%,,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,74%,,915,,39%,,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4,,Not Applicable,,915,,39%,,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,71%,,915,,39%,,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,4,,Not Applicable,,915,,39%,,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",Not Applicable,,78%,,915,,39%,,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4,,Not Applicable,,915,,39%,,1/1/2017,12/31/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_STAR_RATING,Summary star rating,Summary star rating,4,,Not Applicable,,915,,39%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""Always"" clean",Not Applicable,,77%,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3,,Not Applicable,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""Always"" communicated well",Not Applicable,,88%,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4,,Not Applicable,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""Always"" communicated well",Not Applicable,,88%,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,5,,Not Applicable,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""Always"" received help as soon as they wanted",Not Applicable,,80%,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,5,,Not Applicable,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""Always"" explained",Not Applicable,,79%,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,5,,Not Applicable,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3,,Not Applicable,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,87%,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who ""Strongly Agree"" they understood their care when they left the hospital",Not Applicable,,65%,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,5,,Not Applicable,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,75%,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4,,Not Applicable,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,62%,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3,,Not Applicable,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",Not Applicable,,76%,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4,,Not Applicable,,1297,,49%,,1/1/2017,12/31/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_STAR_RATING,Summary star rating,Summary star rating,4,,Not Applicable,,1297,,49%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""Always"" clean",Not Applicable,,79%,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3,,Not Applicable,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""Always"" communicated well",Not Applicable,,84%,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,Not Available,5 - Results are not available for this reporting period.,Not Applicable,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""Always"" communicated well",Not Applicable,,86%,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,4,,Not Applicable,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""Always"" received help as soon as they wanted",Not Applicable,,77%,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,4,,Not Applicable,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""Always"" explained",Not Applicable,,73%,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,5,,Not Applicable,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3,,Not Applicable,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,89%,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who ""Strongly Agree"" they understood their care when they left the hospital",Not Applicable,,62%,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,4,,Not Applicable,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,73%,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4,,Not Applicable,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,76%,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,4,,Not Applicable,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",Not Applicable,,77%,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4,,Not Applicable,,696,,34%,,1/1/2017,12/31/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_STAR_RATING,Summary star rating,Summary star rating,4,,Not Applicable,,696,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""Always"" clean",Not Applicable,,75%,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3,,Not Applicable,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""Always"" communicated well",Not Applicable,,84%,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,Not Available,5 - Results are not available for this reporting period.,Not Applicable,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""Always"" communicated well",Not Applicable,,82%,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3,,Not Applicable,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""Always"" received help as soon as they wanted",Not Applicable,,73%,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,4,,Not Applicable,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""Always"" explained",Not Applicable,,69%,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,4,,Not Applicable,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3,,Not Applicable,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,90%,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who ""Strongly Agree"" they understood their care when they left the hospital",Not Applicable,,56%,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,4,,Not Applicable,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,65%,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,2,,Not Applicable,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,67%,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3,,Not Applicable,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",Not Applicable,,63%,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,2,,Not Applicable,,560,,34%,,1/1/2017,12/31/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_STAR_RATING,Summary star rating,Summary star rating,3,,Not Applicable,,560,,34%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""Always"" clean",Not Applicable,,74%,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3,,Not Applicable,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""Always"" communicated well",Not Applicable,,83%,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4,,Not Applicable,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""Always"" communicated well",Not Applicable,,82%,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3,,Not Applicable,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""Always"" received help as soon as they wanted",Not Applicable,,73%,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,4,,Not Applicable,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""Always"" explained",Not Applicable,,69%,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,4,,Not Applicable,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3,,Not Applicable,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,89%,,1986,,36%,,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who ""Strongly Agree"" they understood their care when they left the hospital",Not Applicable,,55%,,1986,,36%,,1/1/2017,12/31/2017
